domain,is_threat,confidence,reason,risk_level,timestamp
programacion-intuitiva.com,False,0.95,No threat detected,low,2025-07-06T14:05:28.610453
tuidg.xyz,False,0.95,No threat detected,low,2025-07-06T14:05:28.610453
wisterudertuip.info,False,0.95,No threat detected,low,2025-07-06T14:05:28.610453
anthonymathtuition.com,False,0.95,No threat detected,low,2025-07-06T14:05:28.610453
jeuxgratuitsaucasino.com,False,0.95,No threat detected,low,2025-07-06T14:05:28.610453
marloesatuin.shop,False,0.95,No threat detected,low,2025-07-06T14:05:28.610453
detheetuin.com,False,0.95,No threat detected,low,2025-07-06T14:05:28.610453
tianzhongpaotui.com,False,0.95,No threat detected,low,2025-07-06T14:05:28.610453
gratuityglam.com,False,0.95,No threat detected,low,2025-07-06T14:05:28.610453
analizatuisapre.cl,False,0.95,No threat detected,low,2025-07-06T14:05:28.610453
list01-collegetuition.com,False,0.95,No threat detected,low,2025-07-06T14:05:28.610453
spektuinprojecten.nl,False,0.95,No threat detected,low,2025-07-06T14:05:28.610453
ertuionbv.com,False,0.95,No threat detected,low,2025-07-06T14:05:28.610453
dntui.link,False,0.95,No threat detected,low,2025-07-06T14:05:28.610453
tuition-centre-sg-7559575.live,False,0.95,No threat detected,low,2025-07-06T14:05:28.610453
com-guytuim.info,False,0.95,No threat detected,low,2025-07-06T14:05:28.610453
yihuanshoutuiche.com,False,0.95,No threat detected,low,2025-07-06T14:05:28.610453
tuinbuitenwinkelnl.com,False,0.95,No threat detected,low,2025-07-06T14:05:28.610453
balotuixachthangloi.com,False,0.95,No threat detected,low,2025-07-06T14:05:28.610453
artetuindesign.nl,False,0.95,No threat detected,low,2025-07-06T14:05:28.610453
intuitivberatung.de,False,0.95,No threat detected,low,2025-07-06T14:05:28.610453
premiosgratuitos.com,False,0.95,No threat detected,low,2025-07-06T14:05:28.610453
intuitiveai.xyz,False,0.95,No threat detected,low,2025-07-06T14:05:28.610453
batch01-tuitionoptions.com,False,0.95,No threat detected,low,2025-07-06T14:05:28.610453
tuinmeubelenkorting.com,False,0.95,No threat detected,low,2025-07-06T14:05:28.610453
intuitivelaboratories.com,False,0.95,No threat detected,low,2025-07-06T14:05:28.610453
ecozinnigetuinen.nl,False,0.95,No threat detected,low,2025-07-06T14:05:28.610453
tuinplmanten.eu,False,0.95,No threat detected,low,2025-07-06T14:05:28.610453
tuinbouw-nieuwkoop.nl,False,0.95,No threat detected,low,2025-07-06T14:05:28.610453
