domain,is_threat,confidence,reason,risk_level,timestamp
tuimt.com,True,0.85,"Combines the brand with a country code TLD abbreviation ('mt' for Malta), suggesting an official country-specific website.",high,2025-07-06T14:05:28.610453
ag9tuii.yachts,True,0.8,"Uses a typo of the brand ('tuii') with a highly relevant TLD (.yachts), suggesting impersonation of luxury travel or yachting services.",high,2025-07-06T14:05:28.610453
4tui.com,True,0.75,"Short and memorable domain that could be used for phishing campaigns (e.g., 'For TUI'). Its simplicity makes it a potential threat.",high,2025-07-06T14:05:28.610453
tuibood.com,True,0.7,"Could be misinterpreted as 'TUI booked' or a related service, creating potential for customer confusion.",high,2025-07-06T14:05:28.610453
shhutuii.com,True,0.65,"Contains a typo of the brand ('tuii'), which could be used in phishing or scam campaigns targeting customers.",high,2025-07-06T14:05:28.610453
tuitravel-belgium.be,True,0.95,"Combines brand, industry keyword ('travel'), and country ('belgium'). Classic, high-risk impersonation of a regional branch.",high,2025-07-06T14:05:28.610453
tuimail.run,True,0.9,"Impersonates an official email service, posing a high risk for phishing of employee or customer credentials.",high,2025-07-06T14:05:28.610453
tuienda.com,True,0.85,"Likely a play on 'tienda' (shop in Spanish), could impersonate TUI's retail or booking operations in Spanish-speaking markets.",high,2025-07-06T14:05:28.610453
tui-tech-pt.pt,True,0.9,"Impersonates a technical support department in Portugal, a high-risk vector for phishing and customer support scams.",high,2025-07-06T14:05:28.610453
tuitha.com,True,0.85,"Combines the brand with a country abbreviation ('tha' for Thailand), suggesting an official site for a major tourist destination.",high,2025-07-06T14:05:28.610453
nztuid.top,True,0.7,"Combines a country code ('nz' for New Zealand) with a brand typo ('tuid'), suggesting impersonation of a regional branch.",high,2025-07-06T14:05:28.610453
tui-weihnachtsgewinnspiel.de,True,0.95,"Impersonates a promotional campaign ('Christmas raffle' in German), a classic setup for phishing and data theft targeting German customers.",high,2025-07-06T14:05:28.610453
tuiexperiments.com,True,0.8,"Sounds like a plausible site for beta testing new TUI features, making it a credible vector for phishing attacks.",high,2025-07-06T14:05:28.610453
tui-blue.pt,True,0.95,"Impersonates the official 'TUI Blue' hotel brand in a specific market (Portugal), creating a high risk of customer confusion and booking fraud.",high,2025-07-06T14:05:28.610453
tui-merkzettel.de,True,0.95,Impersonates a common website feature ('Merkzettel' - wishlist/notepad) to target German customers for credential phishing.,high,2025-07-06T14:05:28.610453
tui-select.com,True,0.95,"Directly impersonates a known TUI product tier ('Select'), suggesting an official service and posing a high risk of customer confusion.",high,2025-07-06T14:05:28.610453
tuite.uk,True,0.85,Short and memorable domain in a key market (.uk). Could be misinterpreted as 'TUI Site' or an official short URL.,high,2025-07-06T14:05:28.610453
tuipad.com,True,0.8,"Sounds like a plausible name for a TUI application or digital service portal, creating a high risk of customer confusion.",high,2025-07-06T14:05:28.610453
tuiblue-oceanisbeach.gr,True,0.95,"Highly targeted impersonation of a specific TUI Blue hotel in Greece, posing a severe risk of booking fraud.",high,2025-07-06T14:05:28.610453
